block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
6 264 924.3 Go 1 0 0 0 1 1 1 0 0 449.2 449.2 nan nan
6 265 927.3 Go 1 0 0 0 1 1 1 0 0 501.1 517.0 nan nan
6 266 930.7 Stop-left 3 215 0 0 2 0 0 0 1 nan nan nan 579.7
6 267 934.1 Stop-left 3 250 0 0 1 1 1 0 0 406.2 406.2 nan nan
6 268 937.4 Go 1 0 0 0 1 1 1 0 0 471.3 471.3 nan nan
6 269 940.6 Go 1 0 0 0 1 1 1 0 0 402.4 402.4 nan nan
6 270 943.9 Go 1 0 0 0 1 1 1 0 0 503.0 503.0 nan nan
6 271 946.9 Stop-right 4 250 0 0 2 0 0 1 0 nan nan 580.7 nan
6 272 950.4 Go 1 0 0 0 1 1 1 0 0 380.1 380.1 nan nan
6 273 953.8 Go 1 0 0 0 2 0 0 1 1 nan nan 398.0 413.6
6 274 957.3 Go 1 0 0 0 2 0 0 1 1 nan nan 383.5 383.5
6 275 960.6 Go 1 0 0 0 2 0 0 1 1 nan nan 350.5 350.5
6 276 964.1 Go 1 0 0 0 2 0 0 1 1 nan nan 455.5 471.5
6 277 967.4 Go 1 0 0 0 1 1 1 0 0 370.5 370.5 nan nan
6 278 970.6 Stop-all 2 285 0 0 2 1 1 0 0 433.2 433.2 nan nan
6 279 974.0 Stop-left 3 215 0 0 2 0 0 1 1 nan nan 368.6 368.6
6 280 977.4 Go 1 0 0 0 1 1 1 0 0 404.7 404.7 nan nan
6 281 980.8 Stop-all 2 250 0 0 1 1 1 0 0 397.8 397.8 nan nan
6 282 984.0 Stop-right 4 285 0 0 1 1 0 0 0 681.6 nan nan nan
6 283 987.1 Stop-all 2 215 0 0 2 0 0 0 0 nan nan nan nan
6 284 990.4 Go 1 0 0 0 2 0 0 1 1 nan nan 519.2 519.2
6 285 993.7 Go 1 0 0 0 2 0 0 1 1 nan nan 485.5 485.5
6 286 997.1 Go 1 0 0 0 1 1 1 0 0 439.1 439.1 nan nan
6 287 1000.5 Go 1 0 0 0 2 0 0 1 1 nan nan 501.6 501.6
6 288 1003.6 Go 1 0 0 0 1 1 1 0 0 409.2 409.2 nan nan
7 289 1126.9 Go 1 0 0 0 2 0 0 1 1 nan nan 342.0 342.0
7 290 1130.1 Go 1 0 0 0 1 1 1 0 0 271.4 271.4 nan nan
7 291 1133.5 Stop-all 2 250 0 0 2 0 0 1 1 nan nan 390.0 405.8
7 292 1136.9 Go 1 0 0 0 2 0 0 1 1 nan nan 445.1 461.2
7 293 1140.3 Stop-right 4 320 0 0 2 0 0 1 1 nan nan 479.0 479.0
7 294 1143.5 Go 1 0 0 0 1 1 1 0 0 461.4 461.4 nan nan
7 295 1147.0 Stop-all 2 215 0 0 1 1 1 0 0 376.5 376.5 nan nan
7 296 1150.5 Go 1 0 0 0 1 1 1 0 0 358.4 374.5 nan nan
7 297 1153.6 Stop-right 4 285 0 0 1 1 1 0 0 411.5 427.5 nan nan
7 298 1156.9 Go 1 0 0 0 1 1 1 0 0 398.4 398.4 nan nan
7 299 1160.2 Stop-left 3 180 0 0 1 0 1 0 0 nan 583.0 nan nan
7 300 1163.5 Stop-all 2 180 0 0 1 0 0 0 0 nan nan nan nan
7 301 1166.7 Go 1 0 0 0 1 1 1 0 0 443.0 475.2 nan nan
7 302 1170.0 Go 1 0 0 0 2 0 0 1 1 nan nan 560.8 560.8
7 303 1173.4 Go 1 0 0 0 2 0 0 1 1 nan nan 464.4 464.4
7 304 1176.7 Go 1 0 0 0 1 1 1 0 0 407.0 407.0 nan nan
7 305 1179.9 Go 1 0 0 0 1 1 1 0 0 392.9 392.9 nan nan
7 306 1183.2 Go 1 0 0 0 1 1 1 0 0 389.5 389.5 nan nan
7 307 1186.6 Go 1 0 0 0 2 0 0 1 1 nan nan 338.5 338.5
7 308 1189.7 Stop-left 3 215 0 0 1 0 1 0 0 nan 610.3 nan nan
7 309 1192.9 Stop-left 3 250 0 0 1 1 1 0 0 410.6 410.6 nan nan
7 310 1196.1 Go 1 0 0 0 2 0 0 1 1 nan nan 448.1 448.1
7 311 1199.5 Go 1 0 0 0 2 0 0 1 1 nan nan 472.5 472.5
7 312 1202.9 Go 1 0 0 0 2 0 0 1 1 nan nan 332.2 348.2
7 313 1206.3 Stop-right 4 250 0 0 1 1 0 0 0 577.8 nan nan nan
7 314 1209.3 Stop-right 4 285 0 0 2 0 0 1 1 nan nan 483.9 500.2
7 315 1212.4 Go 1 0 0 0 2 0 0 1 1 nan nan 463.5 495.4
7 316 1215.5 Go 1 0 0 0 2 0 0 1 1 nan nan 480.6 496.7
7 317 1218.6 Go 1 0 0 0 2 0 0 1 1 nan nan 472.4 488.5
7 318 1222.0 Go 1 0 0 0 1 1 1 0 0 421.3 421.3 nan nan
